model,query_idx,condition,length_ratio,token_overlap,cmsc
gemma_4_e4b,0,baseline,0.0207,0.0,0.0104
gemma_4_e4b,1,baseline,0.0292,0.0,0.0146
gemma_4_e4b,2,baseline,0.0263,0.0,0.0132
gemma_4_e4b,3,baseline,,,
gemma_4_e4b,4,baseline,0.02,0.0,0.01
gemma_4_e4b,5,baseline,0.0167,0.0,0.0083
gemma_4_e4b,6,baseline,0.0417,0.0,0.0208
gemma_4_e4b,7,baseline,0.223,0.0,0.1115
gemma_4_e4b,8,baseline,0.02,0.0,0.01
gemma_4_e4b,9,baseline,0.0835,0.0,0.0417
gemma_4_e4b,10,baseline,0.8667,0.0,0.4333
gemma_4_e4b,11,baseline,0.0178,0.0,0.0089
gemma_4_e4b,12,baseline,0.199,0.0,0.0995
gemma_4_e4b,13,baseline,0.0198,0.25,0.1349
gemma_4_e4b,14,baseline,0.0032,0.0,0.0016
gemma_4_e4b,15,baseline,0.0391,0.0,0.0195
gemma_4_e4b,16,baseline,0.0211,0.0,0.0106
gemma_4_e4b,17,baseline,0.0208,0.0,0.0104
gemma_4_e4b,18,baseline,0.0576,0.0,0.0288
gemma_4_e4b,19,baseline,0.0316,0.0,0.0158
gemma_4_e4b,20,baseline,0.609,0.0,0.3045
gemma_4_e4b,21,baseline,,,
gemma_4_e4b,22,baseline,0.0096,0.0,0.0048
gemma_4_e4b,23,baseline,0.0127,0.0,0.0063
gemma_4_e4b,24,baseline,0.2271,0.0,0.1135
gemma_4_e4b,25,baseline,0.0239,0.0,0.0119
gemma_4_e4b,26,baseline,0.3221,0.0,0.161
gemma_4_e4b,27,baseline,0.0683,0.0,0.0342
gemma_4_e4b,28,baseline,0.0273,0.0,0.0136
gemma_4_e4b,29,baseline,0.7012,0.0,0.3506
gemma_4_e4b,30,baseline,0.0107,0.0,0.0054
gemma_4_e4b,31,baseline,0.0216,0.0,0.0108
gemma_4_e4b,32,baseline,0.0153,0.0,0.0077
gemma_4_e4b,33,baseline,0.0274,0.0,0.0137
gemma_4_e4b,34,baseline,0.0253,0.0,0.0126
gemma_4_e4b,35,baseline,0.0252,0.0,0.0126
gemma_4_e4b,36,baseline,0.0098,0.0,0.0049
gemma_4_e4b,37,baseline,0.2505,0.0,0.1253
gemma_4_e4b,38,baseline,0.0353,0.0,0.0177
gemma_4_e4b,39,baseline,0.022,0.0,0.011
gemma_4_e4b,40,baseline,0.0138,0.0,0.0069
gemma_4_e4b,41,baseline,0.0199,0.0,0.01
gemma_4_e4b,42,baseline,0.0302,0.0,0.0151
gemma_4_e4b,43,baseline,0.04,0.0,0.02
gemma_4_e4b,44,baseline,0.0145,0.0,0.0073
gemma_4_e4b,45,baseline,0.0329,0.0,0.0164
