metric,model,modality,asr_baseline,asr_storytelling,asr_unrestricted,delta_story_pp,fisher_p,ci95_lo,ci95_hi,asr_text,asr_audio,delta_audio_text_pp,mcnemar_p,n_discordant
harmbench_label,gemma_4_e4b,text,2.33,0.33,0.67,-2.0,0.0039,-3.33,-0.83,,,,,
harmbench_label,gemma_4_e4b,audio,6.67,42.67,46.17,36.0,0.0,31.5,40.33,,,,,
harmbench_label,gemma_4_e2b,text,0.17,0.17,0.17,0.0,1.0,-0.5,0.5,,,,,
harmbench_label,gemma_4_e2b,audio,3.5,66.5,64.33,63.0,0.0,59.0,67.17,,,,,
harmbench_label,qwen2_audio_7b,text,6.0,62.0,74.83,56.0,0.0,51.67,60.33,,,,,
harmbench_label,qwen2_audio_7b,audio,5.83,56.17,80.17,50.33,0.0,46.0,54.83,,,,,
primary_label,gemma_4_e4b,text,39.67,33.0,53.33,-6.67,0.0192,-12.0,-1.17,,,,,
primary_label,gemma_4_e4b,audio,13.17,28.33,39.33,15.17,0.0,10.67,19.67,,,,,
primary_label,gemma_4_e2b,text,43.17,69.67,70.33,26.5,0.0,21.17,32.0,,,,,
primary_label,gemma_4_e2b,audio,7.33,44.5,41.67,37.17,0.0,32.67,41.5,,,,,
primary_label,qwen2_audio_7b,text,5.33,50.83,56.17,45.5,0.0,41.17,50.0,,,,,
primary_label,qwen2_audio_7b,audio,5.83,43.67,57.5,37.83,0.0,33.33,42.17,,,,,
dual_judge_label,gemma_4_e4b,text,16.71,15.14,38.81,-1.57,0.5623,-6.64,3.57,,,,,
dual_judge_label,gemma_4_e4b,audio,9.64,47.8,48.69,38.16,0.0,32.45,43.98,,,,,
dual_judge_label,gemma_4_e2b,text,2.05,45.07,21.39,43.02,0.0,37.15,49.0,,,,,
dual_judge_label,gemma_4_e2b,audio,3.78,67.18,50.86,63.41,0.0,58.63,68.36,,,,,
dual_judge_label,qwen2_audio_7b,text,4.48,88.0,75.94,83.52,0.0,79.54,87.34,,,,,
dual_judge_label,qwen2_audio_7b,audio,4.66,73.02,81.48,68.37,0.0,63.31,73.3,,,,,
majority_label,gemma_4_e4b,text,1.83,0.0,0.57,-1.83,0.0057,-3.39,-0.52,,,,,
majority_label,gemma_4_e4b,audio,7.45,46.04,46.29,38.59,0.0,32.9,44.33,,,,,
majority_label,gemma_4_e2b,text,0.0,1.06,1.0,1.06,0.0933,0.0,2.46,,,,,
majority_label,gemma_4_e2b,audio,3.24,66.15,50.86,62.91,0.0,58.1,67.87,,,,,
majority_label,qwen2_audio_7b,text,4.31,85.85,75.24,81.54,0.0,77.28,85.57,,,,,
majority_label,qwen2_audio_7b,audio,4.31,70.09,80.0,65.78,0.0,60.55,70.85,,,,,
harmbench_label,gemma_4_e4b,audio_vs_text,,,,,,28.44,32.94,1.11,31.83,30.72,0.0,591.0
harmbench_label,gemma_4_e2b,audio_vs_text,,,,,,42.28,46.94,0.17,44.78,44.61,0.0,807.0
harmbench_label,qwen2_audio_7b,audio_vs_text,,,,,,-2.33,1.89,47.61,47.39,-0.22,0.8764,372.0
primary_label,gemma_4_e4b,audio_vs_text,,,,,,-17.94,-12.11,42.0,26.94,-15.06,0.0,747.0
primary_label,gemma_4_e2b,audio_vs_text,,,,,,-32.67,-27.11,61.06,31.17,-29.89,0.0,812.0
primary_label,qwen2_audio_7b,audio_vs_text,,,,,,-3.94,0.39,37.44,35.67,-1.78,0.122,402.0
dual_judge_label,gemma_4_e4b,audio_vs_text,,,,,,-0.35,7.52,26.44,30.08,3.64,0.0743,283.0
dual_judge_label,gemma_4_e2b,audio_vs_text,,,,,,6.17,12.5,21.68,31.01,9.34,0.0,113.0
dual_judge_label,qwen2_audio_7b,audio_vs_text,,,,,,-2.46,1.58,43.55,43.11,-0.44,0.7327,137.0
majority_label,gemma_4_e4b,audio_vs_text,,,,,,23.74,29.96,1.06,27.85,26.79,0.0,244.0
majority_label,gemma_4_e2b,audio_vs_text,,,,,,26.74,33.7,0.47,30.7,30.22,0.0,191.0
majority_label,qwen2_audio_7b,audio_vs_text,,,,,,-2.81,1.23,42.93,42.14,-0.79,0.4976,139.0
